lat,lon,satelite,data
 -22.605670, -63.863480,TERRA_M-M,2023-10-10 02:19:00
 -21.685590, -61.979480,TERRA_M-M,2023-10-10 02:19:00
 -21.676660, -61.980920,TERRA_M-M,2023-10-10 02:19:00
 -21.675340, -61.971340,TERRA_M-M,2023-10-10 02:19:00
 -21.667730, -61.982360,TERRA_M-M,2023-10-10 02:19:00
 -21.666410, -61.972790,TERRA_M-M,2023-10-10 02:19:00
 -21.261040, -58.566810,TERRA_M-M,2023-10-10 02:19:00
 -20.544060, -60.500480,TERRA_M-M,2023-10-10 02:19:00
 -20.542600, -60.490620,TERRA_M-M,2023-10-10 02:19:00
 -19.935520, -60.494850,TERRA_M-M,2023-10-10 02:19:00
 -19.934050, -60.484930,TERRA_M-M,2023-10-10 02:19:00
 -19.932580, -60.475000,TERRA_M-M,2023-10-10 02:19:00
 -19.931110, -60.465060,TERRA_M-M,2023-10-10 02:19:00
 -19.926400, -60.496410,TERRA_M-M,2023-10-10 02:19:00
 -19.924930, -60.486490,TERRA_M-M,2023-10-10 02:19:00
 -19.923460, -60.476560,TERRA_M-M,2023-10-10 02:19:00
 -19.921990, -60.466620,TERRA_M-M,2023-10-10 02:19:00
 -19.869660, -59.293920,TERRA_M-M,2023-10-10 02:19:00
 -19.867900, -59.282810,TERRA_M-M,2023-10-10 02:19:00
 -19.866150, -59.271690,TERRA_M-M,2023-10-10 02:19:00
 -19.860050, -59.295640,TERRA_M-M,2023-10-10 02:19:00
 -19.858290, -59.284540,TERRA_M-M,2023-10-10 02:19:00
 -19.856530, -59.273420,TERRA_M-M,2023-10-10 02:19:00
 -19.815200, -60.007340,TERRA_M-M,2023-10-10 02:19:00
 -19.465620, -60.071290,TERRA_M-M,2023-10-10 02:19:00
 -19.464050, -60.060930,TERRA_M-M,2023-10-10 02:19:00
 -18.865550, -62.871660,TERRA_M-M,2023-10-10 02:19:00
 -18.807840, -63.668300,TERRA_M-M,2023-10-10 02:19:00
 -18.806540, -63.658530,TERRA_M-M,2023-10-10 02:19:00
 -18.665940, -58.502680,TERRA_M-M,2023-10-10 02:19:00
 -18.323720, -63.010750,TERRA_M-M,2023-10-10 02:19:00
 -18.322430, -63.001320,TERRA_M-M,2023-10-10 02:19:00
 -18.222520, -62.744580,TERRA_M-M,2023-10-10 02:19:00
 -18.221220, -62.735230,TERRA_M-M,2023-10-10 02:19:00
 -18.187840, -62.625920,TERRA_M-M,2023-10-10 02:19:00
 -18.186550, -62.616590,TERRA_M-M,2023-10-10 02:19:00
 -18.125150, -62.502350,TERRA_M-M,2023-10-10 02:19:00
 -18.123850, -62.493030,TERRA_M-M,2023-10-10 02:19:00
 -18.078150, -61.784540,TERRA_M-M,2023-10-10 02:19:00
 -18.071910, -61.804760,TERRA_M-M,2023-10-10 02:19:00
 -18.070560, -61.795370,TERRA_M-M,2023-10-10 02:19:00
 -18.008210, -62.260590,TERRA_M-M,2023-10-10 02:19:00
 -18.006890, -62.251280,TERRA_M-M,2023-10-10 02:19:00
 -18.005580, -62.241970,TERRA_M-M,2023-10-10 02:19:00
 -17.916090, -62.195350,TERRA_M-M,2023-10-10 02:19:00
 -17.914770, -62.186040,TERRA_M-M,2023-10-10 02:19:00
 -17.913450, -62.176730,TERRA_M-M,2023-10-10 02:19:00
 -17.912130, -62.167410,TERRA_M-M,2023-10-10 02:19:00
 -17.910810, -62.158100,TERRA_M-M,2023-10-10 02:19:00
 -17.903230, -62.168820,TERRA_M-M,2023-10-10 02:19:00
 -17.757930, -60.363930,TERRA_M-M,2023-10-10 02:19:00
 -17.756370, -60.353650,TERRA_M-M,2023-10-10 02:19:00
 -17.687170, -59.964730,TERRA_M-M,2023-10-10 02:19:00
 -17.664550, -61.158770,TERRA_M-M,2023-10-10 02:19:00
 -17.663110, -61.149070,TERRA_M-M,2023-10-10 02:19:00
 -17.655480, -61.160260,TERRA_M-M,2023-10-10 02:19:00
 -17.654040, -61.150570,TERRA_M-M,2023-10-10 02:19:00
 -17.648840, -62.850770,TERRA_M-M,2023-10-10 02:19:00
 -17.605530, -61.194160,TERRA_M-M,2023-10-10 02:19:00
 -17.595040, -61.185970,TERRA_M-M,2023-10-10 02:19:00
 -17.532420, -62.675490,TERRA_M-M,2023-10-10 02:19:00
 -17.531130, -62.666200,TERRA_M-M,2023-10-10 02:19:00
 -17.401460, -62.926280,TERRA_M-M,2023-10-10 02:19:00
 -17.400200, -64.065060,TERRA_M-M,2023-10-10 02:19:00
 -17.400170, -62.916980,TERRA_M-M,2023-10-10 02:19:00
 -17.389540, -60.618200,TERRA_M-M,2023-10-10 02:19:00
 -17.388000, -60.608050,TERRA_M-M,2023-10-10 02:19:00
 -17.382520, -60.614820,TERRA_M-M,2023-10-10 02:19:00
